"x" "y"
"1" 2.66 -7.07
"2" 3.72 4.6
"3" 5.73 21.62
"4" 9.08 7.5
"5" 2.02 0.69
"6" 8.98 19.54
"7" 9.45 28.18
"8" 6.61 5.58
"9" 6.29 26.93
"10" 0.62 -0.84
"11" 2.06 5.69
"12" 1.77 11.15
"13" 6.87 4.85
"14" 3.84 -7.52
"15" 7.7 29.64
"16" 4.98 -18.77
"17" 7.18 18.6
"18" 9.92 24.76
"19" 3.8 12.96
"20" 7.77 16.46
"21" 9.35 41.36
"22" 2.12 -10.44
"23" 6.52 23.61
"24" 1.26 20.56
"25" 2.67 1.96
"26" 3.86 -21.62
"27" 0.13 4.9
"28" 3.82 -3.11
"29" 8.7 24.51
"30" 3.4 5.36
"31" 4.82 11.48
"32" 6 9.54
"33" 4.94 15.03
"34" 1.86 -1.45
"35" 8.27 6.64
"36" 6.68 2.25
"37" 7.94 -4.4
"38" 1.08 -8.14
"39" 7.24 4.44
"40" 4.11 0.7
"41" 8.21 10.26
"42" 6.47 -12.01
"43" 7.83 3.95
"44" 5.53 24.37
"45" 5.3 11.11
"46" 7.89 32.56
"47" 0.23 -2.83
"48" 4.77 3.11
"49" 7.32 8.5
"50" 6.93 -3.02
"51" 4.78 -4.36
"52" 8.61 36.8
"53" 4.38 -2.14
"54" 2.45 14.52
"55" 0.71 -9.86
"56" 0.99 -18.83
"57" 3.16 -0.96
"58" 5.19 14.05
"59" 6.62 19.4
"60" 4.07 19.83
"61" 9.13 1.21
"62" 2.94 22.41
"63" 4.59 -3.27
"64" 3.32 3.98
"65" 6.51 12.75
"66" 2.58 -6.35
"67" 4.79 -15.95
"68" 7.66 6.88
"69" 0.84 1.56
"70" 8.75 7.95
"71" 3.39 -6.76
"72" 8.39 18.31
"73" 3.47 1.1
"74" 3.34 6.76
"75" 4.76 3.47
"76" 8.92 8.79
"77" 8.64 29.34
"78" 3.9 10.65
"79" 7.77 22.65
"80" 9.61 8.08
"81" 4.35 13.4
"82" 7.13 -7.33
"83" 4 -2.29
"84" 3.25 -11.38
"85" 7.57 -10.78
"86" 2.03 19.72
"87" 7.11 3.05
"88" 1.22 -1.86
"89" 2.45 -2.1
"90" 1.43 4.99
"91" 2.4 17.73
"92" 0.59 17.34
"93" 6.42 -4.39
"94" 8.76 3.37
"95" 7.79 -2.93
"96" 7.97 0.47
"97" 4.55 23.3
"98" 4.1 3.23
"99" 8.11 5.19
"100" 6.05 0.47
